date,game_pk,home_team,away_team,season,margin_edge,side,is_dog,odds_used,ml_units,actual_f5_margin,won,push,profit,bet_type,model_total,consensus_f5_total,edge,actual_f5_total,model_nrfi_prob,market_nrfi_prob,actual_nrfi
2024-09-23,744885,Toronto Blue Jays,Boston Red Sox,2024,-0.716,AWAY_F5_ML,True,-105.0,1.0,-3.0,True,False,95.0,f5_ml,,,,,,,
2024-09-24,746581,Cleveland Guardians,Cincinnati Reds,2024,-0.606,AWAY_F5_ML,True,320.0,1.0,3.0,False,False,-100.0,f5_ml,,,,,,,
2024-09-24,745526,Philadelphia Phillies,Chicago Cubs,2024,-1.627,AWAY_F5_ML,True,195.0,3.0,-4.0,True,False,585.0,f5_ml,,,,,,,
2024-09-25,745521,Philadelphia Phillies,Chicago Cubs,2024,-3.286,AWAY_F5_ML,True,1450.0,3.0,4.0,False,False,-300.0,f5_ml,,,,,,,
2024-09-25,746420,Detroit Tigers,Tampa Bay Rays,2024,-0.517,AWAY_F5_ML,True,168.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2024-09-25,746583,Cleveland Guardians,Cincinnati Reds,2024,-0.658,AWAY_F5_ML,True,235.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
2024-09-25,744795,Washington Nationals,Kansas City Royals,2024,-0.653,AWAY_F5_ML,False,-120.0,1.0,-1.0,True,False,83.0,f5_ml,,,,,,,
2024-09-25,746742,Chicago White Sox,Los Angeles Angels,2024,0.714,HOME_F5_ML,True,-105.0,1.0,1.0,True,False,95.0,f5_ml,,,,,,,
2024-09-25,745607,Oakland Athletics,Texas Rangers,2024,-0.709,AWAY_F5_ML,False,-130.0,1.0,-4.0,True,False,77.0,f5_ml,,,,,,,
2024-09-25,747144,Arizona Diamondbacks,San Francisco Giants,2024,0.82,HOME_F5_ML,False,-150.0,1.5,4.0,True,False,100.0,f5_ml,,,,,,,
2024-09-26,745609,Oakland Athletics,Texas Rangers,2024,0.535,HOME_F5_ML,False,-115.0,1.0,3.0,True,False,87.0,f5_ml,,,,,,,
2024-09-26,746495,Colorado Rockies,St. Louis Cardinals,2024,-0.801,AWAY_F5_ML,False,-125.0,1.5,-1.0,True,False,120.0,f5_ml,,,,,,,
2024-09-27,746417,Detroit Tigers,Chicago White Sox,2024,-2.28,AWAY_F5_ML,True,128.0,3.0,2.0,False,False,-300.0,f5_ml,,,,,,,
2024-09-27,747065,Atlanta Braves,Kansas City Royals,2024,0.964,HOME_F5_ML,False,-198.0,1.5,2.0,True,False,76.0,f5_ml,,,,,,,
2024-09-28,746578,Cleveland Guardians,Houston Astros,2024,1.832,HOME_F5_ML,True,160.0,3.0,-1.0,False,False,-300.0,f5_ml,,,,,,,
2024-09-28,745931,Milwaukee Brewers,New York Mets,2024,-0.5,AWAY_F5_ML,True,-110.0,1.0,2.0,False,False,-100.0,f5_ml,,,,,,,
