date,game_pk,home_team,away_team,season,calibrated_pred,market_implied_margin,margin_edge,side,is_dog,odds_used,ml_units,actual_margin,won,push,profit,bet_type,model_total,consensus_total,edge,actual_total
2018-05-30,530238,Colorado Rockies,San Francisco Giants,2018,0.153,1.149,-0.997,AWAY_ML,True,145.0,1.0,-3.0,True,False,145.0,ml,,,,
2018-05-30,530241,Seattle Mariners,Texas Rangers,2018,1.636,2.499,-0.863,AWAY_ML,True,236.0,1.0,-1.0,True,False,236.0,ml,,,,
2018-05-31,530247,Detroit Tigers,Los Angeles Angels,2018,-2.813,-1.64,-1.174,AWAY_ML,False,-200.0,1.5,4.0,False,False,-150.0,ml,,,,
2018-05-31,530250,Los Angeles Dodgers,Philadelphia Phillies,2018,-0.276,1.203,-1.478,AWAY_ML,True,148.0,1.5,-1.0,True,False,222.0,ml,,,,
2018-05-31,530254,Atlanta Braves,Washington Nationals,2018,-1.38,0.429,-1.809,AWAY_ML,True,112.0,2.0,2.0,False,False,-200.0,ml,,,,
2018-05-31,530245,New York Mets,Chicago Cubs,2018,-0.562,-1.273,0.711,HOME_ML,True,152.0,1.0,-4.0,False,False,-100.0,ml,,,,
2018-05-31,530251,St. Louis Cardinals,Pittsburgh Pirates,2018,1.245,0.613,0.631,HOME_ML,False,-133.0,1.0,2.0,True,False,75.0,ml,,,,
2018-05-31,530248,San Diego Padres,Miami Marlins,2018,1.245,0.613,0.631,HOME_ML,False,-133.0,1.0,5.0,True,False,75.0,ml,,,,
2018-06-01,530268,Detroit Tigers,Toronto Blue Jays,2018,-0.826,-2.763,1.938,HOME_ML,True,260.0,2.0,3.0,True,False,520.0,ml,,,,
2018-06-01,530255,Houston Astros,Boston Red Sox,2018,-0.104,0.405,-0.509,AWAY_ML,True,111.0,1.0,4.0,False,False,-100.0,ml,,,,
2018-06-01,530265,St. Louis Cardinals,Pittsburgh Pirates,2018,0.7,0.104,0.596,HOME_ML,False,-109.0,1.0,-4.0,False,False,-100.0,ml,,,,
2018-06-01,530257,San Diego Padres,Cincinnati Reds,2018,0.809,-0.308,1.117,HOME_ML,True,107.0,1.5,-5.0,False,False,-150.0,ml,,,,
2018-06-01,530266,Seattle Mariners,Tampa Bay Rays,2018,1.24,0.569,0.671,HOME_ML,False,-131.0,1.0,1.0,True,False,76.0,ml,,,,
2018-06-01,530264,San Francisco Giants,Philadelphia Phillies,2018,-0.304,0.567,-0.87,AWAY_ML,True,118.0,1.0,4.0,False,False,-100.0,ml,,,,
2018-06-02,530280,St. Louis Cardinals,Pittsburgh Pirates,2018,0.499,1.039,-0.54,AWAY_ML,True,139.0,1.0,1.0,False,False,-100.0,ml,,,,
2018-06-02,530277,Baltimore Orioles,New York Yankees,2018,-0.559,-1.592,1.033,HOME_ML,True,170.0,1.5,-3.0,False,False,-150.0,ml,,,,
2018-06-02,530273,Minnesota Twins,Cleveland Indians,2018,-0.562,-1.286,0.724,HOME_ML,True,151.0,1.0,6.0,True,False,151.0,ml,,,,
2018-06-02,530282,Los Angeles Angels,Texas Rangers,2018,0.85,1.403,-0.553,AWAY_ML,True,158.0,1.0,-1.0,True,False,158.0,ml,,,,
2018-06-02,530272,San Diego Padres,Cincinnati Reds,2018,0.7,0.104,0.596,HOME_ML,False,-109.0,1.0,6.0,True,False,92.0,ml,,,,
2018-06-02,530279,San Francisco Giants,Philadelphia Phillies,2018,0.7,0.104,0.596,HOME_ML,False,-109.0,1.0,2.0,True,False,92.0,ml,,,,
2018-06-02,530281,Seattle Mariners,Tampa Bay Rays,2018,-0.104,0.405,-0.509,AWAY_ML,True,111.0,1.0,2.0,False,False,-100.0,ml,,,,
2018-06-02,530275,Arizona Diamondbacks,Miami Marlins,2018,-0.116,1.386,-1.503,AWAY_ML,True,157.0,2.0,4.0,False,False,-200.0,ml,,,,
2018-06-03,530297,Los Angeles Angels,Texas Rangers,2018,3.029,1.682,1.348,HOME_ML,False,-196.0,1.5,2.0,True,False,77.0,ml,,,,
2018-06-03,530290,Arizona Diamondbacks,Miami Marlins,2018,1.134,0.591,0.543,HOME_ML,False,-132.0,1.0,5.0,True,False,76.0,ml,,,,
2018-06-04,529619,Detroit Tigers,New York Yankees,2018,-1.099,-1.652,0.553,HOME_ML,True,174.0,1.0,-3.0,False,False,-100.0,ml,,,,
2018-06-04,529634,Detroit Tigers,New York Yankees,2018,-1.099,-1.652,0.553,HOME_ML,True,174.0,1.0,2.0,True,False,174.0,ml,,,,
2018-06-05,530317,Washington Nationals,Tampa Bay Rays,2018,1.636,2.488,-0.852,AWAY_ML,True,235.0,1.0,2.0,False,False,-100.0,ml,,,,
2018-06-05,530304,San Diego Padres,Atlanta Braves,2018,-1.123,-0.589,-0.534,AWAY_ML,False,-129.0,1.0,-13.0,True,False,78.0,ml,,,,
2018-06-06,530319,San Diego Padres,Atlanta Braves,2018,0.576,-0.157,0.733,HOME_ML,True,101.0,1.0,2.0,True,False,101.0,ml,,,,
2018-06-06,530330,Chicago Cubs,Philadelphia Phillies,2018,1.134,0.591,0.543,HOME_ML,False,-132.0,1.0,2.0,True,False,76.0,ml,,,,
2018-06-06,530324,Los Angeles Angels,Kansas City Royals,2018,0.533,2.207,-1.674,AWAY_ML,True,210.0,2.0,1.0,False,False,-200.0,ml,,,,
2018-06-07,530340,St. Louis Cardinals,Miami Marlins,2018,1.116,2.126,-1.01,AWAY_ML,True,206.0,1.5,3.0,False,False,-150.0,ml,,,,
2018-06-07,530335,Cincinnati Reds,Colorado Rockies,2018,0.793,0.078,0.714,HOME_ML,False,-108.0,1.0,2.0,True,False,93.0,ml,,,,
2018-06-07,530333,Toronto Blue Jays,Baltimore Orioles,2018,-0.104,0.405,-0.509,AWAY_ML,True,111.0,1.0,1.0,False,False,-100.0,ml,,,,
2018-06-08,530353,Chicago Cubs,Pittsburgh Pirates,2018,0.106,1.22,-1.115,AWAY_ML,True,149.0,1.5,2.0,False,False,-150.0,ml,,,,
2018-06-07,530337,Texas Rangers,Houston Astros,2018,-2.813,-1.622,-1.191,AWAY_ML,False,-192.0,1.5,-3.0,True,False,78.0,ml,,,,
2018-06-07,530338,Oakland Athletics,Kansas City Royals,2018,0.68,1.185,-0.505,AWAY_ML,True,147.0,1.0,3.0,False,False,-100.0,ml,,,,
2018-06-08,530357,Cincinnati Reds,St. Louis Cardinals,2018,-0.062,-0.569,0.507,HOME_ML,True,116.0,1.0,-1.0,False,False,-100.0,ml,,,,
2018-06-08,530351,Philadelphia Phillies,Milwaukee Brewers,2018,0.715,0.131,0.585,HOME_ML,False,-110.0,1.0,-8.0,False,False,-100.0,ml,,,,
2018-06-08,530352,New York Mets,New York Yankees,2018,0.7,0.104,0.596,HOME_ML,False,-109.0,1.0,-3.0,False,False,-100.0,ml,,,,
2018-06-08,530348,Texas Rangers,Houston Astros,2018,-2.813,-1.64,-1.174,AWAY_ML,False,-200.0,1.5,-4.0,True,False,75.0,ml,,,,
2018-06-08,530349,Oakland Athletics,Kansas City Royals,2018,0.106,1.22,-1.115,AWAY_ML,True,149.0,1.5,5.0,False,False,-150.0,ml,,,,
2018-06-08,530343,Colorado Rockies,Arizona Diamondbacks,2018,0.7,0.104,0.596,HOME_ML,False,-109.0,1.0,-5.0,False,False,-100.0,ml,,,,
2018-06-08,530350,Minnesota Twins,Los Angeles Angels,2018,0.809,-0.308,1.117,HOME_ML,True,107.0,1.5,-2.0,False,False,-150.0,ml,,,,
2018-06-09,530368,Chicago Cubs,Pittsburgh Pirates,2018,0.783,1.286,-0.503,AWAY_ML,True,151.0,1.0,2.0,False,False,-100.0,ml,,,,
2018-06-09,530362,Detroit Tigers,Cleveland Indians,2018,-1.807,-1.238,-0.569,AWAY_ML,False,-165.0,1.0,2.0,False,False,-100.0,ml,,,,
2018-06-09,530372,Cincinnati Reds,St. Louis Cardinals,2018,0.842,-1.914,2.756,HOME_ML,True,189.0,3.0,-2.0,False,False,-300.0,ml,,,,
2018-06-09,530359,Los Angeles Dodgers,Atlanta Braves,2018,-0.203,1.02,-1.222,AWAY_ML,True,138.0,1.5,-2.0,True,False,207.0,ml,,,,
2018-06-09,530367,New York Mets,New York Yankees,2018,-1.807,-1.203,-0.604,AWAY_ML,False,-163.0,1.0,-1.0,True,False,61.0,ml,,,,
2018-06-10,530377,Detroit Tigers,Cleveland Indians,2018,0.842,-1.987,2.829,HOME_ML,True,195.0,3.0,-7.0,False,False,-300.0,ml,,,,
2018-06-10,530375,Toronto Blue Jays,Baltimore Orioles,2018,1.24,0.569,0.671,HOME_ML,False,-131.0,1.0,10.0,True,False,76.0,ml,,,,
2018-06-10,530386,Tampa Bay Rays,Seattle Mariners,2018,-1.807,-1.238,-0.569,AWAY_ML,False,-165.0,1.0,-1.0,True,False,61.0,ml,,,,
2018-06-10,530381,Philadelphia Phillies,Milwaukee Brewers,2018,0.809,-0.308,1.117,HOME_ML,True,107.0,1.5,1.0,True,False,161.0,ml,,,,
2018-06-10,530378,Texas Rangers,Houston Astros,2018,-0.559,-1.515,0.955,HOME_ML,True,165.0,1.0,-1.0,False,False,-100.0,ml,,,,
2018-06-10,530382,New York Mets,New York Yankees,2018,-0.826,-2.541,1.715,HOME_ML,True,240.0,2.0,2.0,True,False,480.0,ml,,,,
2018-06-10,530385,Washington Nationals,San Francisco Giants,2018,3.543,2.715,0.828,HOME_ML,False,-305.0,1.0,-2.0,False,False,-100.0,ml,,,,
2018-06-11,530388,Baltimore Orioles,Boston Red Sox,2018,-1.245,-0.613,-0.632,AWAY_ML,False,-133.0,1.0,-2.0,True,False,75.0,ml,,,,
2018-06-11,530394,Miami Marlins,San Francisco Giants,2018,-0.789,-1.353,0.565,HOME_ML,True,155.0,1.0,2.0,True,False,155.0,ml,,,,
2018-06-11,530390,Chicago White Sox,Cleveland Indians,2018,-1.398,-2.086,0.688,HOME_ML,True,200.0,1.0,-4.0,False,False,-100.0,ml,,,,
2018-06-12,530396,Baltimore Orioles,Boston Red Sox,2018,-0.562,-1.273,0.711,HOME_ML,True,152.0,1.0,-2.0,False,False,-100.0,ml,,,,
2018-06-12,530400,Philadelphia Phillies,Colorado Rockies,2018,0.3,0.884,-0.585,AWAY_ML,True,131.0,1.0,1.0,False,False,-100.0,ml,,,,
2018-06-12,530399,Chicago White Sox,Cleveland Indians,2018,-1.981,-0.824,-1.157,AWAY_ML,False,-143.0,1.5,4.0,False,False,-150.0,ml,,,,
2018-06-12,530404,Atlanta Braves,New York Mets,2018,1.598,1.001,0.597,HOME_ML,False,-152.0,1.0,6.0,True,False,66.0,ml,,,,
2018-06-12,530397,Milwaukee Brewers,Chicago Cubs,2018,0.485,-0.208,0.693,HOME_ML,True,103.0,1.0,4.0,True,False,103.0,ml,,,,
2018-06-12,530401,Oakland Athletics,Houston Astros,2018,-0.228,-1.02,0.792,HOME_ML,True,138.0,1.0,-3.0,False,False,-100.0,ml,,,,
2018-06-12,530406,St. Louis Cardinals,San Diego Padres,2018,3.029,1.711,1.318,HOME_ML,False,-198.0,1.5,-2.0,False,False,-150.0,ml,,,,
2018-06-12,530402,Seattle Mariners,Los Angeles Angels,2018,0.793,0.078,0.714,HOME_ML,False,-108.0,1.0,3.0,True,False,93.0,ml,,,,
2018-06-13,530419,Atlanta Braves,New York Mets,2018,-0.062,-0.569,0.507,HOME_ML,True,116.0,1.0,2.0,True,False,116.0,ml,,,,
2018-06-12,530408,Los Angeles Dodgers,Texas Rangers,2018,-0.116,1.386,-1.503,AWAY_ML,True,157.0,2.0,7.0,False,False,-200.0,ml,,,,
2018-06-13,530411,Baltimore Orioles,Boston Red Sox,2018,-0.826,-2.541,1.715,HOME_ML,True,240.0,2.0,-4.0,False,False,-200.0,ml,,,,
2018-06-13,530420,Arizona Diamondbacks,Pittsburgh Pirates,2018,1.598,1.001,0.597,HOME_ML,False,-152.0,1.0,-1.0,False,False,-100.0,ml,,,,
2018-06-14,530429,Oakland Athletics,Houston Astros,2018,-2.813,-1.64,-1.174,AWAY_ML,False,-200.0,1.5,-4.0,True,False,75.0,ml,,,,
2018-06-15,530442,Baltimore Orioles,Miami Marlins,2018,0.487,1.057,-0.571,AWAY_ML,True,140.0,1.0,-2.0,True,False,140.0,ml,,,,
2018-06-15,530440,Kansas City Royals,Houston Astros,2018,-1.398,-2.114,0.716,HOME_ML,True,205.0,1.0,-4.0,False,False,-100.0,ml,,,,
2018-06-15,530438,Texas Rangers,Colorado Rockies,2018,0.7,0.104,0.596,HOME_ML,False,-109.0,1.0,-4.0,False,False,-100.0,ml,,,,
2018-06-15,530435,Seattle Mariners,Boston Red Sox,2018,1.598,1.001,0.597,HOME_ML,False,-152.0,1.0,1.0,True,False,66.0,ml,,,,
2018-06-16,530455,Kansas City Royals,Houston Astros,2018,-2.804,-2.266,-0.538,AWAY_ML,False,-255.0,1.0,-8.0,True,False,39.0,ml,,,,
2018-06-15,530447,Los Angeles Dodgers,San Francisco Giants,2018,1.685,2.323,-0.638,AWAY_ML,True,220.0,1.0,1.0,False,False,-100.0,ml,,,,
2018-06-16,530454,Chicago White Sox,Detroit Tigers,2018,0.576,-0.157,0.733,HOME_ML,True,101.0,1.0,-2.0,False,False,-100.0,ml,,,,
2018-06-16,530456,Oakland Athletics,Los Angeles Angels,2018,0.7,0.104,0.596,HOME_ML,False,-109.0,1.0,2.0,True,False,92.0,ml,,,,
